実施 する 	 じっし する
移っ た よう です 	 うつっ た よう です
ある かも知れ ない 	 ある かもしれ ない
住ん 	 すみん
探究 し 	 たんきゅう し
表現 する 	 ひょうげん する
送っ た 	 おくっ た
反し て 	 はんし て
語っ た 	 かたっ た
かみ あい ませ ん 	 かみ あい ませ ん
潜伏 する 	 せんぷく する
殺到 	 さっとう
刺し た 	 さし た
怯ん だ 	 ひるん だ
自刃 し て 	 じじん し て
果て た 	 はて た
乗り切る 	 のりきる
補強 さ れ 	 ほきょう さ れ
殺し た 	 ころし た
解体 さ れ て 	 かいたい さ れ て
樽詰め さ れ た 	 たるづめ さ れ た
改宗 し て 	 かいしゅう し て
得 られる ように なり 	 え られる ように なり
進む 	 すすむ
発掘 さ れ た 	 はっくつ さ れ た
比定 さ れ て 	 ひてい さ れ て
送り出す 	 おくりだす
たかれ 	 たかれ
ささげ た 	 ささげ た
でき なく なる 	 でき なく なる
表現 さ れる 	 ひょうげん さ れる
過ぎ去っ た 	 すぎさっ た
開催 さ れる ように なり 	 かいさい さ れる ように なり
開催 さ れ て 	 かいさい さ れ て
復活 	 ふっかつ
伝え 	 つたえ
倒し た 	 たおし た
中止 さ せる 	 ちゅうし さ せる
楽しみ 	 たのしみ
呆れる 	 あきれる
特定 し て 	 とくてい し て
望み 	 のぞみ
ライトアップ する 	 らいとあっぷ する
助かり ます 	 たすかり ます
つながっ て 	 つながっ て
書く 	 かく
発揮 し 	 はっき し
低下 さ せる 	 ていか さ せる
併せ て 	 あわせ て
止める 	 とめる
起こる かもしれ ない 	 おこる かもしれ ない
存在 し ない 	 そんざい し ない
紹介 し て 	 しょうかい し て
いか ない 	 いか ない
飲ま ない 	 のま ない
載せ て 	 のせ て
想定 し た 	 そうてい し た
開放 さ れ た 	 かいほう さ れ た
批准 し た 	 ひじゅん し た
接し て 	 せっし て
拡張 できる 	 かくちょう できる
帰属 する 	 きぞく する
論じ た 	 ろんじ た
発行 さ れ た 	 はっこう さ れ た
表し て 	 あらわし て
存在 する 	 そんざい する
放出 さ れ た 	 ほうしゅつ さ れ た
引く 	 ひく
いっ て 	 いっ て
おくる 	 おくる
図っ て 	 ずっ て
笑っ た 	 わらっ た
発見 さ れ ず 	 はっけん さ れ ず
成功 さ せる 	 せいこう さ せる
指摘 さ れ た 	 してき さ れ た
却下 し た 	 きゃっか し た
習っ て 	 ならっ て
説明 さ せ て 	 せつめい さ せ て
欠い た 	 かい た
抗議 する 	 こうぎ する
削除 し 	 さくじょ し
つか ない 	 つか ない
取りやめる よう 	 とりやめる よう
要請 し ます 	 ようせい し ます
間違え なく 	 まちがえ なく
出来る 	 できる
注文 できる 	 ちゅうもん できる
見当たり ませ ん でした 	 みあたり ませ ん でした
組み 	 くみ
成立 し ます 	 せいりつ し ます
逮捕 さ れ 	 たいほ さ れ
検挙 さ れ て 	 けんきょ さ れ て
つながっ た 	 つながっ た
唱え られ 	 となえ られ
化 し て 	 か し て
参加 でき なけれ 	 さんか でき なけれ
劣り 	 おとり
堕ちる 	 おちる
分析 	 ぶんせき
燃え尽き て 	 もえつき て
変わり 	 かわり
提示 し て 	 ていじ し て
働き 	 はたらき
年老い て 	 ねんおい て
築こ う 	 きず こう
試みる 	 こころみる
整っ た 	 ととのっ た
抱え て 	 かかえ て
記録 し た 	 きろく し た
次ぐ 	 じぐ
まい た 	 まい た
入手 出来る 	 にゅうしゅ できる
製造 する 	 せいぞう する
叶 える 	 かな える
運航 さ れ て 	 うんこう さ れ て
変更 さ れ た 	 へんこう さ れ た
指摘 さ れ 	 してき さ れ
達し て 	 たっし て
選ん 	 せんん
無視 し た 	 むし し た
妊娠 し 	 にんしん し
産む 	 うむ
決め まし た 	 きめ まし た
かけ 	 かけ
転送 	 てんそう
変化 し た 	 へんか し た
発生 し た 	 はっせい し た
化し た 	 かし た
救出 する 	 きゅうしゅつ する
呼びかけ て 	 よびかけ て
抜か れ た 	 ぬか れ た
応え て 	 こたえ て
請け負い 	 うけおい
晴れ て 	 はれ て
果たす 	 はたす
合流 し た 	 ごうりゅう し た
さ せ られ て 	 さ せ られ て
加え た 	 くわえ た
わかる 	 わかる
休み たく ない 	 やすみ たく ない
騙し 	 だまし
騙し 続け て 	 だまし つづけ て
しまい 	 しまい
伺う 	 うかがう
こげ なく なっ て 	 こげ なく なっ て
切っ て 	 きっ て
引き出し 	 ひきだし
現行犯逮捕 し た 	 げんこうはんたいほ し た
分断 する 	 ぶんだん する
遠征 し て 	 えんせい し て
征服 し た 	 せいふく し た
緊張 し まし た 	 きんちょう し まし た
リラックス さ せる 	 りらっくす さ せる
呼び戻す 	 よびもどす
適応 する 	 てきおう する
見つけ て 	 みつけ て
覚醒 さ せる 	 かくせい さ せる
計算 し て 	 けいさん し て
待ち 続け て 	 まち つづけ て
出来 まし た 	 でき まし た
卒業 	 そつぎょう
脱会 し た 	 だっかい し た
かけし た 	 かけし た
注文 し ます 	 ちゅうもん し ます
起こり 	 おこり
空転 し て 	 くうてん し て
語っ て 	 かたっ て
好ま れ た 	 このま れ た
属する 	 ぞくする
伝えする 	 つたえする
つづけ て 	 つづけ て
覆わ れ て 	 おおわ れ て
混ぜ 	 まぜ
焼い て 	 やい て
扱わ れ て 	 あつかわ れ て
絞っ た 	 しぼっ た
注目 さ れ 	 ちゅうもく さ れ
築き上げ た 	 きずきあげ た
格納 する 	 かくのう する
摘ん 	 つん
持ち帰り まし た 	 もちかえり まし た
駆け抜け た 	 かけぬけ た
ドラマ 	 どらま
化 さ れ た 	 か さ れ た
騒がせ 	 さわがせ
つけこん だ 	 つけこん だ
うかが え ます 	 うかが え ます
なす 	 なす
詠ま れ て 	 よま れ て
言え 	 いえ
集約 さ れ て 	 しゅうやく さ れ て
扱い せ ず 	 あつかい せ ず
見守っ て 	 みまもっ て
立ち会っ た 	 たちあっ た
座り 	 すわり
購入 する 	 こうにゅう する
説明 さ れ て 	 せつめい さ れ て
絶対 	 ぜったい
視 さ せる 	 し さ せる
読みと れ ます 	 よみと れ ます
入信 し た 	 にゅうしん し た
取り戻す 	 とりもどす
スタート 	 すたーと
広め よう 	 ひろめ よう
旅 し て 	 たび し て
覚え 	 おぼえ
とりつか れ て 	 とりつか れ て
提供 し 	 ていきょう し
おじゃま する 	 おじゃま する
呼び寄せ て 	 よびよせ て
任さ れ 	 まかさ れ
世話 する 	 せわ する
考え 	 かんがえ
移り 	 うつり
住 める よう 	 す める よう
用意 し た 	 ようい し た
採 れる 	 と れる
はやっ て 	 はやっ て
誘っ て 	 さそっ て
捧げる 	 ささげる
向く ように 	 むく ように
装っ て 	 よそおっ て
現れる 	 あらわれる
好ん だ 	 このん だ
誇っ た 	 ほこっ た
見つかっ た 	 みつかっ た
ついてまわり ます 	 ついてまわり ます
主張 	 しゅちょう
参加 できる 	 さんか できる
数値化 し た 	 すうちか し た
承認 し 	 しょうにん し
結ん だ 	 むすん だ
報道 し た 	 ほうどう し た
完成 	 かんせい
知ら れ て 	 しら れ て
研究 する 	 けんきゅう する
実施 せ らる べく 	 じっし せ らる べく
有す 	 ゆうす
排除 さ れ て 	 はいじょ さ れ て
結ん 	 むすん
接近 し た 	 せっきん し た
たまり ませ ん 	 たまり ませ ん
変わっ た 	 かわっ た
受け ず 	 うけ ず
死亡 し て 	 しぼう し て
思わ せ て 	 おもわ せ て
こと し ない 	 こと し ない
流れる 	 ながれる
設定 し た 	 せってい し た
招集 さ れ た 	 しょうしゅう さ れ た
失点 する 	 しってん する
見せ られ ず 	 みせ られ ず
喫し た 	 きっし た
設置 さ れ て 	 せっち さ れ て
熟練 し た 	 じゅくれん し た
要求 し て 	 ようきゅう し て
聞 け ない 	 き け ない
なり ませ ん 	 なり ませ ん
違っ た 	 ちがっ た
つれ て 	 つれ て
使役 さ れ て 	 しえき さ れ て
掛け合わせ て 	 かけあわせ て
作出 さ れ た 	 さくしゅつ さ れ た
操る 	 あやつる
負け られ ない 	 まけ られ ない
関わっ た 	 かかわっ た
み て 	 み て
調べ て 	 しらべ て
集まり 始め 	 あつまり はじめ
続ける 	 つづける
葬る ような 	 ほうむる ような
刻印 さ れ 続け て 	 こくいん さ れ つづけ て
加え て 	 くわえ て
生じ 始め た 	 しょうじ はじめ た
上映 する 	 じょうえい する
増加 し 	 ぞうか し
置き 	 おき
かえ 	 かえ
指摘 し 	 してき し
リストラ さ れ 	 りすとら さ れ
入れ替える 	 いれかえる
生じ て 	 しょうじ て
訴え て 	 うったえ て
誘わ れ 	 さそわ れ
来し て 	 きし て
蘇っ た 	 よみがえっ た
達する 	 たっする
録音 でき ない 	 ろくおん でき ない
おこなっ て 	 おこなっ て
来店 	 らいてん
起こし て 	 おこし て
再生 さ せる 	 さいせい さ せる
付加 さ れ て 	 ふか さ れ て
貫く 	 つらぬく
冠し て 	 かんし て
放送 さ れる ような 	 ほうそう さ れる ような
異なり 	 ことなり
感じ させる 	 かんじ させる
進撃 する 	 しんげき する
勇戦 し た 	 ゆうせん し た
開発 する 	 かいはつ する
上陸 し た 	 じょうりく し た
戦死 し 	 せんし し
負傷 し た 	 ふしょう し た
映る 	 うつる
称さ れ た 	 しょうさ れ た
割拠 し て 	 かっきょ し て
詐称 し た 	 さしょう し た
叩い て 	 たたい て
休む 	 やすむ
活動 する 	 かつどう する
離陸 	 りりく
脱落 し 	 だつらく し
挟まっ た 	 はさまっ た
おこら ず 	 おこら ず
提案 し て 	 ていあん し て
出所 し た 	 でどころ し た
行い まし た 	 おこない まし た
選定 さ れ て 	 せんてい さ れ て
会合 	 かいごう
燃え て 	 もえ て
119番 し た 	 １１９ばん し た
収納 さ れ て 	 しゅうのう さ れ て
かける 	 かける
頼ん 	 よちん
響き 	 ひびき
願いし た 	 ねがいし た
参戦 し た 	 さんせん し た
行なわ れる 	 おこなわ れる
振り 	 ふり
抜い た 	 ぬい た
飛ばす 	 とばす
料理 し て 	 りょうり し て
白骨化 し た 	 はっこつか し た
調べ た 	 しらべ た
捜査 し 	 そうさ し
厭わ ない 	 いやわ ない
対比 さ せ て 	 たいひ さ せ て
コメント し て 	 こめんと し て
借り た 	 かり た
傾い た 	 かたむい た
風化 し た 	 ふうか し た
構成 さ れ て 	 こうせい さ れ て
開店 	 かいてん
噴出 し た 	 ふんしゅつ し た
よれ 	 よれ
安置 し 	 あんち し
動員 し 	 どういん し
手に入れ た 	 てにいれ た
消灯 する 	 しょうとう する
収集 し 	 しゅうしゅう し
管理 する 	 かんり する
取り組ん 	 とりくん
苦戦 する 	 くせん する
認識 し て 	 にんしき し て
分かれ て 	 わかれ て
名乗っ た 	 なのっ た
突入 し た 	 とつにゅう し た
追いやら れ て 	 おいやら れ て
描い て 	 えがい て
飛ん 	 ひん
さ れ にくい 	 さ れ にくい
応じる 	 おうじる
委ね られ て 	 ゆだね られ て
許さ ない 	 ゆるさ ない
許し 	 ゆるし
リリース し た 	 りりーす し た
測定 し 	 そくてい し
引き起こす 	 ひきおこす
気づい て 	 きづい て
まく 	 まく
所属 する 	 しょぞく する
警告 し た 	 けいこく し た
荒れ ず 	 あれ ず
摘発 す べき 	 てきはつ す べき
摘発 し た 	 てきはつ し た
合わせる 	 あわせる
なり ます 	 なり ます
表す 	 あらわす
取れ た 	 とれ た
伝わる 	 つたわる
記載 さ れ て 	 きさい さ れ て
育て られ た 	 そだて られ た
載っ た 	 のっ た
運ん 	 はこん
収まら ず 	 おさまら ず
変わる 	 かわる
突か れ 	 つか れ
カバー 出来 ず 	 かばー でき ず
目立ち 	 めりっち
助け られ 	 たすけ られ
競り 	 せり
勝た れ て 	 かた れ て
奪わ れ て 	 うばわ れ て
行き たく なる 	 いき たく なる
設け て 	 もうけ て
要求 し 	 ようきゅう し
挑発 	 ちょうはつ
言わ れ た 	 いわ れ た
感じ させ 	 かんじ させ
くれ た 	 くれ た
勤め 	 つとめ
勤め て 	 つとめ て
反映 し て 	 はんえい し て
変化 し て 	 へんか し て
踏まえる 	 ふまえる
作出 し 続け て 	 さくしゅつ し つづけ て
主催 し て 	 しゅさい し て
言わ ざるをえ ませ ん 	 いわ ざるをえ ませ ん
拒否 し て 	 きょひ し て
見抜き 	 みぬき
共演 し て 	 きょうえん し て
示し た 	 しめし た
決め 	 きめ
披露 する 	 ひろう する
保存 し た 	 ほぞん し た
いき 	 いき
対談 	 たいだん
歌唱 	 かしょう
上京 し て 	 じょうきょう し て
分岐 し 	 ぶんき し
掲載 さ れ て 	 けいさい さ れ て
残し て 	 のこし て
使い にくい 	 つかい にくい
断ら れる 	 ことわら れる
き け ない 	 き け ない
送ら れ て 	 おくら れ て
映さ れ て 	 うつさ れ て
取っ て 	 とっ て
略 さ れる 	 りゃく さ れる
嫌わ れ て 	 きらわ れ て
言い たいです 	 いい たいです
開い て 	 ひらい て
頂き たい 	 いただき たい
閉鎖 さ れる 	 へいさ さ れる
引退 し た 	 いんたい し た
強化 さ れ た 	 きょうか さ れ た
博し 	 はくし
立て 	 たて
でき 	 でき
保証 する 	 ほしょう する
挑む 	 いどむ
粛清 し て 	 しゅくせい し て
掌握 し 	 しょうあく し
築く 	 きずく
見捨て ない 	 みすて ない
戻っ た 	 もどっ た
はっきりし て 	 はっきりし て
指揮 さ せ たら 	 しき さ せ たら
捕らえ られ 	 とらえ られ
帰還 し た 	 きかん し た
欠落 	 けつらく
犯し て 	 おかし て
行わ れ 	 おこなわ れ
復帰 さ れ た 	 ふっき さ れ た
引き渡さ れ た 	 ひきわたさ れ た
上映 し ます 	 じょうえい し ます
設立 	 せつりつ
開放 し 	 かいほう し
誘導 する 	 ゆうどう する
進め た 	 すすめ た
ののしっ た 	 ののしっ た
企画 し て 	 きかく し て
展開 し 始め た そうです 	 てんかい し はじめ た そうです
撃破 し て 	 げきは し て
捕らえ た 	 とらえ た
報道 さ れ て 	 ほうどう さ れ て
棲ん 	 すん
会っ たら 	 あっ たら
取り込ま れ て 	 とりこま れ て
被わ れる 	 おおわ れる
深める 	 ふかめる
定め て 	 さだめ て
利用 する ように 	 りよう する ように
搭載 さ れ て 	 とうさい さ れ て
化 	 か
記憶 する 	 きおく する
了承 する 	 りょうしょう する
示さ れ 	 しめさ れ
認め られる 	 みとめ られる
排除 する 	 はいじょ する
一致 し ない 	 いっち し ない
接する 	 せっする
兼任 し て 	 けんにん し て
クリック する 	 くりっく する
表示 さ れる 	 ひょうじ さ れる
現し 始め た 	 げんし はじめ た
伝える べき 	 つたえる べき
悩ま せる 	 なやま せる
携わっ た 	 たずさわっ た
纏め た 	 まとめ た
命令 	 めいれい
実行 さ れ 	 じっこう さ れ
す べき 	 す べき
契約 し 	 けいやく し
かざっ て 	 かざっ て
出版 さ れ て 	 しゅっぱん さ れ て
装備 	 そうび
叩き出す 	 たたきだす
あえぐ 	 あえぐ
放送 し なかっ た 	 ほうそう し なかっ た
連発 	 れんぱつ
さらわ れ 	 さらわ れ
売ら れ 	 うら れ
過ごす 	 すごす
流れ 	 ながれ
変える 	 かえる
走ら せる 	 はしら せる
認め 合い 	 みと めあい
当選 	 とうせん
評価 できる 	 ひょうか できる
希望 する 	 きぼう する
分かる 	 わかる
取り付け 	 とりつけ
整備 する 	 せいび する
一変 し 	 いっぺん し
集まっ た 	 あつまっ た
いっ たら 	 いっ たら
結ば れ た 	 むすば れ た
運転 さ れ て 	 うんてん さ れ て
運転 さ れる 	 うんてん さ れる
とれ ちゃい ます 	 とれ ちゃい ます
作っ た 	 つくっ た
定め られ て 	 さだめ られ て
存続 し て 	 そんぞく し て
へ 	 へ
移籍 し た 	 いせき し た
やられ た 	 やられ た
発し 	 はっし
なっ 	 なっ
盛り込ま れ て 	 もりこま れ て
閉ざさ れ た 	 とざさ れ た
押しつぶさ れる 	 おしつぶさ れる
眠る 	 ねむる
持たさ れる 	 もたさ れる
わかっ て 	 わかっ て
取り除く 	 とりのぞく
つき まし た 	 つき まし た
利用 する 	 りよう する
増え て 	 ふえ て
邪魔 さ れる 	 じゃま さ れる
切り抜け 	 きりぬけ
よみがえら せ た 	 よみがえら せ た
標記 さ れ て 	 ひょうき さ れ て
創刊 し た 	 そうかん し た
よこし て 	 よこし て
き まし た 	 き まし た
食べ たく なる 	 たべ たく なる
落ち 	 おち
駆け落ち し よう 	 かけおち し よう
溢れ て 	 あふれ て
扱い 	 あつかい
観測 できる 	 かんそく できる
扱う 	 あつかう
話しかけ て 	 はなしかけ て
形成 さ れ た 	 けいせい さ れ た
掘り 	 ほり
つくさ れる 	 つくさ れる
行 え ませ ん 	 おこな え ませ ん
経験 	 けいけん
倒す 	 たおす
なくなる 	 なくなる
管理 し て 	 かんり し て
死ん 	 しん
誕生 する 	 たんじょう する
絶滅 する 	 ぜつめつ する
亡くし 	 なくし
聞かさ れ 続け られ て 	 きかさ れ つづけ られ て
持ち 続ける 	 もち つづける
続け 	 つづけ
採る 	 とる
断り づらく し て 	 ことわり づらく し て
放置 さ れ て 	 ほうち さ れ て
視 さ れる ように なり まし た 	 し さ れる ように なり まし た
開始 し た 	 かいし し た
歌う 	 うたう
値上げ する 	 ねあげ する
変更 さ れる 	 へんこう さ れる
もらう 	 もらう
もら え た 	 もら え た
認め られ た ような 	 みとめ られ た ような
寄せ られ た 	 よせ られ た
集め て 	 あつめ て
紹介 	 しょうかい
使用 さ れ なかっ た 	 しよう さ れ なかっ た
経過 する 	 けいか する
分布 する 	 ぶんぷ する
到達 する 	 とうたつ する
解決 し て 	 かいけつ し て
努力 し て 	 どりょく し て
賭け なければ なら ない 	 かけ なければ なら ない
在籍 する 	 ざいせき する
破裂 し た 	 はれつ し た
治 せる 	 なお せる
治 せ なかっ た 	 なお せ なかっ た
導入 する 	 どうにゅう する
知り合っ た 	 しりあっ た
組む 	 くむ
提出 し て 	 ていしゅつ し て
集まっ て 	 あつまっ て
回復 する 	 かいふく する
合せ て 	 あわせ て
見 直さ れ て 	 み なおさ れ て
にぎわう 	 にぎわう
勝利 し た 	 しょうり し た
おすすめ し ない 	 おすすめ し ない
変更 し た 	 へんこう し た
抜い て 	 ぬい て
踏まえ た 	 ふまえ た
含む 	 ふくむ
充実 し て 	 じゅうじつ し て
つかっ た 	 つかっ た
い け ます 	 い け ます
異なっ た 	 ことなっ た
統合 さ せ た 	 とうごう さ せ た
述べ まし た 	 のべ まし た
進み 	 すすみ
残さ れ た 	 のこさ れ た
いこ う 	 いこ う
上げ た 	 あげ た
予定 し て 	 よてい し て
取りやめ た 	 とりやめ た
加入 し て 	 かにゅう し て
関わる 	 かかわる
拒否 さ れ て 	 きょひ さ れ て
発売 さ れ 	 はつばい さ れ
就く 	 つく
加盟 し て 	 かめい し て
分け て 	 わけ て
構成 し 	 こうせい し
決め られ た 	 きめ られ た
跳躍 し て 	 ちょうやく し て
移動 する 	 いどう する
説明 する 	 せつめい する
沈降 し 	 ちんこう し
出来 て 	 でき て
残っ て 	 のこっ て
突入 する 	 とつにゅう する
伸び悩ん だ 	 のびなやん だ
待っ て 	 まっ て
すすめ て 	 すすめ て
提供 し ます 	 ていきょう し ます
自動化 し たい 	 じどうか し たい
長生き し た 	 ながいき し た
稼ぎ 	 かせぎ
供養 する 	 くよう する
保護 さ れ 	 ほご さ れ
引き渡さ れ て 	 ひきわたさ れ て
襲っ て 	 おそっ て
渦巻く 	 うずまきく
リンク し 	 りんく し
観測 し た 	 かんそく し た
目立っ た 	 めだっ た
出来 なかっ た 	 でき なかっ た
クリア し て 	 くりあ し て
わかっ た 	 わかっ た
名乗る 	 なのる
割り出し 	 わりだし
掲載 し て 	 けいさい し て
プレイ し た 	 ぷれい し た
すぎ て 	 すぎ て
発展 さ せ た 	 はってん さ せ た
入門 	 にゅうもん
予約 し 	 よやく し
決め て 	 きめ て
見つけ た 	 みつけ た
占拠 さ れ 	 せんきょ さ れ
建設 さ れ た 	 けんせつ さ れ た
壊滅 する 	 かいめつ する
い まし た 	 い まし た
把握 し て 	 はあく し て
活かす 	 いかす
発表 し て 	 はっぴょう し て
夭折 	 ようせつ
紹介 する 	 しょうかい する
運営 し て 	 うんえい し て
停止 し 	 ていし し
解体 さ れ た 	 かいたい さ れ た
開始 さ れ 	 かいし さ れ
延長 さ れ た 	 えんちょう さ れ た
聞か なきゃ だめ だ 	 きか なきゃ だめ だ
奔走 する 	 ほんそう する
追わ れ 	 おわ れ
消える 	 きえる
休ん 	 やすん
崩さ なかっ た 	 くずさ なかっ た
廃止 さ れ 	 はいし さ れ
委託 さ れる 	 いたく さ れる
生活 する 	 せいかつ する
派遣 さ れ て 	 はけん さ れ て
配し た 	 はいし た
聞き 	 きき
配置 する 	 はいち する
出来 ない 	 でき ない
流し て 	 ながし て
制し て 	 せいし て
導い た 	 みちびい た
騎乗 し て 	 きじょう し て
保有 する 	 ほゆう する
続い た 	 つづい た
出 まし た 	 で まし た
入港 する 	 にゅうこう する
座礁 し た 	 ざしょう し た
自殺 し た 	 じさつ し た
結びつき 	 むすびつき
視 する 	 し する
作り上げ た 	 つくりあげ た
決意 し て 	 けつい し て
整え て 	 ととのえ て
徴発 し た 	 ちょうはつ し た
起こっ た 	 おこっ た
下向 し て 	 げこう し て
努め て 	 つとめ て
分布 し て 	 ぶんぷ し て
反発 する 	 はんぱつ する
引き続い て 	 ひきつづい て
規制 する 	 きせい する
上がっ て 	 あがっ て
送信 さ れ て 	 そうしん さ れ て
撃墜 し た 	 げきつい し た
命中 	 めいちゅう
臨 め た 	 のぞ め た
感動 	 かんどう
行き たいです 	 いき たいです
設立 さ れ 	 せつりつ さ れ
務め て 	 つとめ て
因ん 	 ちなみん
名付け られ た 	 なづけ られ た
発足 し た 	 ほっそく し た
検討 する 	 けんとう する
課金 する 	 かきん する
炒め 	 いため
入ってい て 	 はいってい て
反映 さ せ た 	 はんえい さ せ た
公開 する 	 こうかい する
提携 し て 	 ていけい し て
連動 する 	 れんどう する
公開 し た 	 こうかい し た
迫る 	 せまる
抱く 	 いだく
得 て 	 とく て
貫通 できる 	 かんつう できる
私語 	 しご
見受け られ た 	 みうけ られ た
たのし め まし た 	 たのし め まし た
定め た 	 さだめ た
従う べき 	 したがう べき
渋っ て 	 しぶっ て
押さ れる 	 おさ れる
担う 	 になう
調節 できる 	 ちょうせつ できる
思 え ない 	 おも え ない
富ん だ 	 とん だ
満足 でき まし た 	 まんぞく でき まし た
通し て 	 とおし て
告げる 	 つげる
驚い て 	 おどろい て
過ごし た 	 すごし た
実現 する 	 じつげん する
確立 さ れる 	 かくりつ さ れる
化学合成 さ れる ように なる 	 かがくごうせい さ れる ように なる
開発 さ れ た 	 かいはつ さ れ た
伝わっ た 	 つたわっ た
捕え られ た 	 とらえ られ た
隠れ ず 	 かくれ ず
見 やすく なっ た 	 み やすく なっ た
実現 し た 	 じつげん し た
認める ように なる 	 みとめる ように なる
譲受 し た 	 ゆずりうけ し た
飛ん だ 	 とん だ
復讐 する べく 	 ふくしゅう する べく
呼ば れ た 	 よば れ た
話す 	 はなす
生き 	 いき
変わり ます 	 かわり ます
会談 し た 	 かいだん し た
し たい 	 し たい
所蔵 し て 	 しょぞう し て
持ってい ける 	 もって いける
創設 さ れ た 	 そうせつ さ れ た
忍耐 さ れ て 	 にんたい さ れ て
執っ て 	 とっ て
砲撃 し 	 ほうげき し
指し て 	 さし て
果たし 	 はたし
復帰 し た 	 ふっき し た
放映 さ れ て 	 ほうえい さ れ て
解説 する 	 かいせつ する
移転 し た 	 いてん し た
訪問 し た 	 ほうもん し た
思い切っ て 	 おもいきっ て
口コミ し ちゃい ます 	 くちこみ し ちゃい ます
詰め て 	 つめ て
送る 	 おくる
あたる 	 あたる
求め 	 もとめ
提訴 し て 	 ていそ し て
及ん だ 	 およん だ
願い 	 ねがい
でる 	 でる
バント し た 	 ばんと し た
送球 し て 	 そうきゅう し て
生還 し 	 せいかん し
逆転 	 ぎゃくてん
勝ち し た 	 がち し た
降板 し た 	 こうばん し た
ヒアリング する 	 ひありんぐ する
稼働 する 	 かどう する
停止 する 	 ていし する
結婚 し たい 	 けっこん し たい
受講 し まし た 	 じゅこう し まし た
まとめ た 	 まとめ た
併記 し て 	 へいき し て
帰る 	 かえる
出演 し 	 しゅつえん し
心配 し ない 	 しんぱい し ない
こなし て 	 こなし て
し ます 	 し ます
入り 過ぎ 	 いり すぎ
落とし 	 おとし
切っ 	 きっ
開設 さ れ た 	 かいせつ さ れ た
見舞う 	 みまう
戦闘 	 せんとう
聞く 	 きく
聞こえる 	 きこえる
手がけ た 	 てがけ た
携わっ て 	 たずさわっ て
果たし て 	 はたし て
規定 さ れ た 	 きてい さ れ た
来 	 らい
思っ ちゃい ます 	 おもっ ちゃい ます
新設 さ れ た 	 しんせつ さ れ た
出馬 し 	 しゅつば し
行き まし たー 	 いき まし たー
展開 し た 	 てんかい し た
掲載 し た 	 けいさい し た
判明 し まし た 	 はんめい し まし た
開始 できる 	 かいし できる
痛め て 	 いため て
恵まれ ず 	 めぐまれ ず
略奪 する 	 りゃくだつ する
与え て 	 あたえ て
作成 し た 	 さくせい し た
閉鎖 さ れ た 	 へいさ さ れ た
懇願 し た 	 こんがん し た
断ら れ て 	 ことわら れ て
慣れ ない 	 なれ ない
飾る 	 かざる
帰ら ぬ 	 かえら ぬ
撮り 続ける 	 とり つづける
取得 し て 	 しゅとく し て
走る 	 はしる
感心 し た 	 かんしん し た
上げ られ た 	 あげ られ た
継続 する 	 けいぞく する
記載 し て 	 きさい し て
限ら れ た 	 かぎら れ た
感じ でき まし た 	 かんじ でき まし た
開発 し 	 かいはつ し
司る 	 つかさどる
選定 さ れ た 	 せんてい さ れ た
廃止 さ れ た 	 はいし さ れ た
討つ ように 	 うつ ように
命令 し た 	 めいれい し た
栄え た 	 さかえ た
掲載 さ れ た 	 けいさい さ れ た
代表 する 	 だいひょう する
向上 さ せる 	 こうじょう さ せる
高め られ 	 たかめ られ
期待 でき ます 	 きたい でき ます
あれ 	 あれ
チェック し て 	 ちぇっく し て
追い込も う 	 おいこも う
使わ なく なっ た 	 つかわ なく なっ た
歌い 	 うたい
流し ます 	 ながし ます
非難 し て 	 ひなん し て
転換 し 	 てんかん し
し なかっ た 	 し なかっ た
使い込ま れ た 	 つかいこま れ た
高跳び する 	 たかとび する
確認 さ れ まし た 	 かくにん さ れ まし た
売却 さ れる 	 ばいきゃく さ れる
起こり にくい 	 おこり にくい
扱い やすい 	 あつかい やすい
求め られる 	 もとめ られる
好ん 	 すん
言い ませ ん 	 いい ませ ん
思え ます 	 おもえ ます
建て られ て 	 たて られ て
荒れ た 	 あれ た
驚嘆 し て 	 きょうたん し て
書き入れる 	 かきいれる
スタート する 	 すたーと する
実施 さ れる 	 じっし さ れる
顔 せ ず 	 かお せ ず
惚れ する 	 ぼれ する
借り換える 	 かりかえる
開始 し まし た 	 かいし し まし た
達成 	 たっせい
苦しん だ 	 くるしん だ
獲得 する 	 かくとく する
上向き 始め た 	 うわむき はじめ た
閉ざし て 	 とざし て
開く 	 ひらく
撮影 し よう 	 さつえい し よう
妨害 	 ぼうがい
経っ た 	 たっ た
発言 し た 	 はつげん し た
出る ように 	 でる ように
言わ れ 	 いわ れ
精通 する 	 せいつう する
潜む 	 もぐむ
限ら れる 	 かぎら れる
巡回 する 	 じゅんかい する
通過 	 つうか
落ち着い て 	 おちつい て
発行 し 	 はっこう し
あら ぬ 	 あら ぬ
さける 	 さける
特定 さ れる 	 とくてい さ れる
伏せ て 	 ふせ て
活躍 する 	 かつやく する
応援 し よう 	 おうえん し よう
駆けつけ た 	 かけつけ た
固定 する 	 こてい する
醸し出し て 	 かもしだし て
任せ て 	 まかせ て
着目 し た 	 ちゃくもく し た
認め ませ ん でした 	 みとめ ませ ん でした
認定 	 にんてい
襲わ れ 	 おそわ れ
合流 	 ごうりゅう
創刊 さ れ 	 そうかん さ れ
増やし て 	 ふやし て
扱っ て 	 あつかっ て
